OutletID,OutletName,Chain,Channel,OperatorName,Sector,Address2,Postcode,Latitude,Longitude,Region,PostcodeArea,PostcodeDistrict,TravelToWorkArea,ActiveTraders,Totalspend,Totaltransactions,TotalUniqueCustomer,month_name,year,spend,transactions,unique_customer
1103040,Wenzels,Wenzels The Bakers,Coffee & Sandwich,Wenzels,Coffee & Sandwich,null,WD189TB,51.63832,-0.437747,East of England,WD,WD18,London,Active,5528157.19,960755,205879,Nov,2024,339528.71,59103,33043
1103040,Wenzels,Wenzels The Bakers,Coffee & Sandwich,Wenzels,Coffee & Sandwich,null,WD189TB,51.63832,-0.437747,East of England,WD,WD18,London,Active,5528157.19,960755,205879,Dec,2024,315655.05,53762,32207
1103040,Wenzels,Wenzels The Bakers,Coffee & Sandwich,Wenzels,Coffee & Sandwich,null,WD189TB,51.63832,-0.437747,East of England,WD,WD18,London,Active,5528157.19,960755,205879,Jan,2025,288040.18,50942,29128
1103040,Wenzels,Wenzels The Bakers,Coffee & Sandwich,Wenzels,Coffee & Sandwich,null,WD189TB,51.63832,-0.437747,East of England,WD,WD18,London,Active,5528157.19,960755,205879,Feb,2025,295215.85,51608,30001
1103040,Wenzels,Wenzels The Bakers,Coffee & Sandwich,Wenzels,Coffee & Sandwich,null,WD189TB,51.63832,-0.437747,East of England,WD,WD18,London,Active,5528157.19,960755,205879,Mar,2025,270261.28,47474,28731
1103040,Wenzels,Wenzels The Bakers,Coffee & Sandwich,Wenzels,Coffee & Sandwich,null,WD189TB,51.63832,-0.437747,East of England,WD,WD18,London,Active,5528157.19,960755,205879,Apr,2025,324457.38,55092,32544
1103040,Wenzels,Wenzels The Bakers,Coffee & Sandwich,Wenzels,Coffee & Sandwich,null,WD189TB,51.63832,-0.437747,East of England,WD,WD18,London,Active,5528157.19,960755,205879,May,2025,299006.2,49818,29992
1103040,Wenzels,Wenzels The Bakers,Coffee & Sandwich,Wenzels,Coffee & Sandwich,null,WD189TB,51.63832,-0.437747,East of England,WD,WD18,London,Active,5528157.19,960755,205879,Jun,2025,329306.93,54506,31746
1103040,Wenzels,Wenzels The Bakers,Coffee & Sandwich,Wenzels,Coffee & Sandwich,null,WD189TB,51.63832,-0.437747,East of England,WD,WD18,London,Active,5528157.19,960755,205879,Jul,2025,344944.64,58708,33693
1103040,Wenzels,Wenzels The Bakers,Coffee & Sandwich,Wenzels,Coffee & Sandwich,null,WD189TB,51.63832,-0.437747,East of England,WD,WD18,London,Active,5528157.19,960755,205879,Aug,2025,339404.27,56526,33455
982499,KFC Shrewbury Arlington Way,KFC,QSR Delivery & Takeaway,KFC,Fastfood & Takeaway,null,SY14AB,52.74225,-2.720757,West Midlands,SY,SY1,Shrewsbury,Active,3570154.08,253925,82148,Apr,2024,172829.87,12329,9501
982499,KFC Shrewbury Arlington Way,KFC,QSR Delivery & Takeaway,KFC,Fastfood & Takeaway,null,SY14AB,52.74225,-2.720757,West Midlands,SY,SY1,Shrewsbury,Active,3570154.08,253925,82148,May,2024,190502.97,13693,10323
982499,KFC Shrewbury Arlington Way,KFC,QSR Delivery & Takeaway,KFC,Fastfood & Takeaway,null,SY14AB,52.74225,-2.720757,West Midlands,SY,SY1,Shrewsbury,Active,3570154.08,253925,82148,Jun,2024,166259.57,11837,9119
982499,KFC Shrewbury Arlington Way,KFC,QSR Delivery & Takeaway,KFC,Fastfood & Takeaway,null,SY14AB,52.74225,-2.720757,West Midlands,SY,SY1,Shrewsbury,Active,3570154.08,253925,82148,Jul,2024,174396.77,12220,9345
982499,KFC Shrewbury Arlington Way,KFC,QSR Delivery & Takeaway,KFC,Fastfood & Takeaway,null,SY14AB,52.74225,-2.720757,West Midlands,SY,SY1,Shrewsbury,Active,3570154.08,253925,82148,Aug,2024,178498.12,12333,9462
982499,KFC Shrewbury Arlington Way,KFC,QSR Delivery & Takeaway,KFC,Fastfood & Takeaway,null,SY14AB,52.74225,-2.720757,West Midlands,SY,SY1,Shrewsbury,Active,3570154.08,253925,82148,Sep,2024,173899.55,12407,9537
982499,KFC Shrewbury Arlington Way,KFC,QSR Delivery & Takeaway,KFC,Fastfood & Takeaway,null,SY14AB,52.74225,-2.720757,West Midlands,SY,SY1,Shrewsbury,Active,3570154.08,253925,82148,Oct,2024,181560.06,13582,10153
982499,KFC Shrewbury Arlington Way,KFC,QSR Delivery & Takeaway,KFC,Fastfood & Takeaway,null,SY14AB,52.74225,-2.720757,West Midlands,SY,SY1,Shrewsbury,Active,3570154.08,253925,82148,Nov,2024,182555.87,13028,9909
982499,KFC Shrewbury Arlington Way,KFC,QSR Delivery & Takeaway,KFC,Fastfood & Takeaway,null,SY14AB,52.74225,-2.720757,West Midlands,SY,SY1,Shrewsbury,Active,3570154.08,253925,82148,Dec,2024,191835.53,12663,9929
982499,KFC Shrewbury Arlington Way,KFC,QSR Delivery & Takeaway,KFC,Fastfood & Takeaway,null,SY14AB,52.74225,-2.720757,West Midlands,SY,SY1,Shrewsbury,Active,3570154.08,253925,82148,Jan,2025,159214.55,11598,8715
982499,KFC Shrewbury Arlington Way,KFC,QSR Delivery & Takeaway,KFC,Fastfood & Takeaway,null,SY14AB,52.74225,-2.720757,West Midlands,SY,SY1,Shrewsbury,Active,3570154.08,253925,82148,Feb,2025,172769.66,12200,9365
982499,KFC Shrewbury Arlington Way,KFC,QSR Delivery & Takeaway,KFC,Fastfood & Takeaway,null,SY14AB,52.74225,-2.720757,West Midlands,SY,SY1,Shrewsbury,Active,3570154.08,253925,82148,Mar,2025,169933.36,12097,9090
982499,KFC Shrewbury Arlington Way,KFC,QSR Delivery & Takeaway,KFC,Fastfood & Takeaway,null,SY14AB,52.74225,-2.720757,West Midlands,SY,SY1,Shrewsbury,Active,3570154.08,253925,82148,Apr,2025,180706.68,12386,9440
982499,KFC Shrewbury Arlington Way,KFC,QSR Delivery & Takeaway,KFC,Fastfood & Takeaway,null,SY14AB,52.74225,-2.720757,West Midlands,SY,SY1,Shrewsbury,Active,3570154.08,253925,82148,May,2025,194419.86,13506,10002
982499,KFC Shrewbury Arlington Way,KFC,QSR Delivery & Takeaway,KFC,Fastfood & Takeaway,null,SY14AB,52.74225,-2.720757,West Midlands,SY,SY1,Shrewsbury,Active,3570154.08,253925,82148,Jun,2025,171190.19,11943,8955
982499,KFC Shrewbury Arlington Way,KFC,QSR Delivery & Takeaway,KFC,Fastfood & Takeaway,null,SY14AB,52.74225,-2.720757,West Midlands,SY,SY1,Shrewsbury,Active,3570154.08,253925,82148,Jul,2025,183712.15,12697,9635
982499,KFC Shrewbury Arlington Way,KFC,QSR Delivery & Takeaway,KFC,Fastfood & Takeaway,null,SY14AB,52.74225,-2.720757,West Midlands,SY,SY1,Shrewsbury,Active,3570154.08,253925,82148,Aug,2025,191103.43,12737,9694
1003579,McDonalds,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,Livingston,EH546QX,55.88288,-3.518336,Scotland,EH,EH54,Livingston,Active,2701139.88,272070,53214,Apr,2024,142143.16,14754,8799
1003579,McDonalds,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,Livingston,EH546QX,55.88288,-3.518336,Scotland,EH,EH54,Livingston,Active,2701139.88,272070,53214,May,2024,60063.8,7068,4609
1003579,McDonalds,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,Livingston,EH546QX,55.88288,-3.518336,Scotland,EH,EH54,Livingston,Active,2701139.88,272070,53214,Jun,2024,130170.55,13153,8143
1003579,McDonalds,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,Livingston,EH546QX,55.88288,-3.518336,Scotland,EH,EH54,Livingston,Active,2701139.88,272070,53214,Jul,2024,150020.81,14947,9200
1003579,McDonalds,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,Livingston,EH546QX,55.88288,-3.518336,Scotland,EH,EH54,Livingston,Active,2701139.88,272070,53214,Aug,2024,149961.96,15502,9328
1003579,McDonalds,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,Livingston,EH546QX,55.88288,-3.518336,Scotland,EH,EH54,Livingston,Active,2701139.88,272070,53214,Sep,2024,136383.23,14263,8270
1003579,McDonalds,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,Livingston,EH546QX,55.88288,-3.518336,Scotland,EH,EH54,Livingston,Active,2701139.88,272070,53214,Oct,2024,138698.89,14504,8493
1003579,McDonalds,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,Livingston,EH546QX,55.88288,-3.518336,Scotland,EH,EH54,Livingston,Active,2701139.88,272070,53214,Nov,2024,145153.5,14675,8918
1003579,McDonalds,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,Livingston,EH546QX,55.88288,-3.518336,Scotland,EH,EH54,Livingston,Active,2701139.88,272070,53214,Dec,2024,163991.19,15666,9903
1003579,McDonalds,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,Livingston,EH546QX,55.88288,-3.518336,Scotland,EH,EH54,Livingston,Active,2701139.88,272070,53214,Jan,2025,112374.15,11749,7049
1003579,McDonalds,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,Livingston,EH546QX,55.88288,-3.518336,Scotland,EH,EH54,Livingston,Active,2701139.88,272070,53214,Feb,2025,115568.66,11848,7319
1003579,McDonalds,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,Livingston,EH546QX,55.88288,-3.518336,Scotland,EH,EH54,Livingston,Active,2701139.88,272070,53214,Mar,2025,128885.91,13144,7754
1003579,McDonalds,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,Livingston,EH546QX,55.88288,-3.518336,Scotland,EH,EH54,Livingston,Active,2701139.88,272070,53214,Apr,2025,133641.43,13117,8229
1003579,McDonalds,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,Livingston,EH546QX,55.88288,-3.518336,Scotland,EH,EH54,Livingston,Active,2701139.88,272070,53214,May,2025,133936.21,13255,7856
1003579,McDonalds,McDonalds,QSR Delivery & Takeaway,McDonalds,Fastfood & Takeaway,Livingston,EH546QX,55.88288,-3.518336,Scotland,EH,EH54,Livingston,Active,2701139.88,272070,53214,Jun,2025,131658.67,12595,7933
